SPECIES,SITE_ID,Height_min,Height_max,Behaviour,WEATHER_CONDITIONS,N_INDIVIDUALS,SEASON,HABITAT,Longitude,Latitude
S24,Zone B,7,9,-,"sunny, strong breeze",10,C,X2,130.3157018,-32.49333462
S25,Zone D,NA,NA,NA,"ENE wind, gusty, hot, clear skies.",5,A,X4,130.1041932,-32.4251709
S25,Zone G,NA,10,B7,"Light Easterly breeze, clear skies",6,A,X4,130.1779859,-32.39536412
S25,Zone A,NA,NA,B7,"ESE wind, gusty at times, clear skies",7,A,X4,130.0674542,-32.25413856
S25,Zone D,NA,NA,-,"SE breeze, hot with clear skies",5,A,X4,130.1041932,-32.4251709
S25,Zone E,NA,NA,NA,strong eaterly,6,A,X4,130.2042642,-32.24900808
S25,Zone A,NA,NA,NA,light easterly,6,A,X4,130.0674542,-32.25413856
S25,Zone G,NA,10,B6,"Clear conditions, light breeze in in steady gusts from south",5,A,X4,130.1779859,-32.39536412
S25,Zone D,NA,11,B3,"Clear conditions, moderate breeze from SE",6,A,X4,130.1488508,-32.48177617
S25,Zone G,6,8,B3,"Clear, strong wind from East ",7,A,X4,130.1458091,-32.32572974
S25,Zone G,NA,10,B3,"Clear, strong wind from East ",14,A,X1,130.1257698,-32.26561097
S25,Zone C,NA,NA,B2,"Moderate wind from NE, clear conditions",6,A,X4,130.0633847,-32.46023925
S25,Zone H,NA,NA,B2,"Moderate wind from NE, clear conditions",5,A,X4,130.1186258,-32.45876212
S25,Zone B,NA,10,B1,"Gentle ESE breeze, clear conditions",6,A,X4,130.0211448,-32.32262952
S25,Zone G,NA,25,B2,"Still, hot, clear",5,B,X4,130.1779859,-32.39536412
S25,Zone B,NA,25,B2,"Clear, hot, light breeze ",5,B,X2,130.3157018,-32.49333462
S25,Zone C,NA,25,NA,"Still, hot, clear",5,B,X4,130.2372141,-32.50679697
S25,Zone C,NA,25,B2,0/01/1900,5,B,X5,130.0459086,-32.52789957
S25,Zone G,NA,25,NA,0/01/1900,5,B,X4,130.1779859,-32.39536412
S25,Zone D,NA,25,NA,"Fine, clear, moderate W'ly breeze",5,B,X4,130.1488508,-32.48177617
S25,Zone F,NA,25,B2,"Fine, clear, light E'ly wind",5,B,X4,130.2225679,-32.18382245
S25,Zone C,NA,25,B2,"Clear, hot, light SW'ly breeze",5,B,X4,130.2372141,-32.50679697
S25,Zone C,NA,25,B3,strong wind 130,5,B,X4,130.2372141,-32.50679697
S25,Zone F,NA,25,B3,strong wind 110,5,B,X6,130.1879648,-32.1889944
S25,Zone H,NA,25,B7,medium wind 100,5,B,X1,130.164601,-32.28404537
S25,Zone B,NA,25,B1,"Easterly wind, clear skies",6,B,X4,130.0454944,-32.38497506
S25,Zone D,NA,25,-,"Hot dry ESE wind, gusty at times. Clear skies",5,B,X2,130.1260132,-32.36875353
S25,Zone H,NA,25,B1,"Hot dry ESE wind, gusty at times. Clear skies",7,B,X6,130.133218,-32.29602514
S25,Zone C,NA,25,B2,"Hot Easterly wind, clear skies",5,B,X4,130.0633847,-32.46023925
S25,Zone D,NA,25,B1,"Hot Easterly wind, clear skies",6,B,X4,130.1041932,-32.4251709
S25,Zone G,7,9,B1,"Sunny, slight easterly breeze",5,C,X4,130.1171401,-32.21401792
S25,Zone F,6,11,B1,"Sunny, easterly wind gusty at times ",6,C,X6,130.1594802,-32.20812932
S25,Zone E,6,9,B1,"Sunny, easterly wind gusty at times ",7,C,X1,130.2453818,-32.22617201
S25,Zone D,11,13,NA,"fine, warm, still",5,C,X1,130.0923706,-32.49824002
S25,Zone D,6,7,B1,"fine, warm, still",5,C,X4,130.1041932,-32.4251709
S25,Zone H,5,10,NA,"fine, warm, moderate breeze",5,C,X6,130.133218,-32.29602514
S25,Zone D,6,9,B3,"cloudy, warm, strong wind",5,C,X2,130.1260132,-32.36875353
S25,Zone D,6,8,B3,"fine, clear, strong wind",6,C,X4,130.1041932,-32.4251709
S25,Zone G,6,7,B2,"fine, clear, light E'ly breeze",5,C,X4,130.1779859,-32.39536412
S25,Zone D,9,10,B1,"fine, clear, v light E'ly breeze",5,C,X2,130.1260132,-32.36875353
S25,Zone E,6,7,B1,"fine, clear, v light E'ly breeze",5,C,X4,130.2040977,-32.22226437
S25,Zone C,9,10,NA,"fine, clear, light E'ly breeze",6,C,X1,130.239891,-32.47313511
S25,Zone C,6,7,B3,"fine, clear, moderate E'ly breeze",5,C,X4,130.2372141,-32.50679697
S25,Zone B,7,9,B2,"fine, clear, strong E'ly breeze",5,C,X2,130.3157018,-32.49333462
S25,Zone E,6,8,B1,"fine, mostly clear, moderate NE'ly breeze",5,C,X4,130.2042642,-32.24900808
S25,Zone F,5,5,B1,"fine, partly cloudy, moderate E'ly breeze",6,C,X4,130.2225679,-32.18382245
S25,Zone E,5,6,B1,"fine, clear, light SE'ly breeze",7,C,X4,130.2042642,-32.24900808
S25,Zone F,6,7,B2,"fine, clear, strong SE'ly breeze",5,C,X6,130.1879648,-32.1889944
S25,Zone F,5,7,B3,"fine, clear, strong E'ly breeze with regular stronger gusts ",5,C,X4,130.2225679,-32.18382245
S25,Zone F,5,6,B3,"fine, clear, strong SE'ly breeze",5,C,X7,130.1800519,-32.26204008
S25,Zone F,5,6,NA,"fine, clear, strong E'ly breeze",5,C,X4,130.2225679,-32.18382245
S25,Zone D,5,9,B3,0/01/1900,6,C,X4,130.1488508,-32.48177617
S25,Zone B,5,9,B3,"sunny, light breeze",6,C,X4,130.0748139,-32.30165297
S25,Zone E,NA,NA,NA,sunny,5,C,X4,130.2042642,-32.24900808
S25,Zone G,7,8,B3,sunny,5,C,X4,130.1458091,-32.32572974
S25,Zone F,5.5,6,B3,sunny,5,C,X6,130.1594802,-32.20812932
S25,Zone G,6,7,B2,"cloudy, breezy",5,C,X4,130.1779859,-32.39536412
S25,Zone H,8,10,B3,"Sunny, light breeze",5,C,X6,130.133218,-32.29602514
S25,Zone G,7,8,B1,"Sunny, light breeze",5,C,X2,130.1130163,-32.34329067
S25,Zone B,7,8,B2,"Sunny, strong breeze",5,C,X4,130.0454944,-32.38497506
S25,Zone B,7,9,B3,"Sunny, strong breeze",6,C,X4,130.0748139,-32.30165297
S26,Zone A,NA,13,B7,"ENE wind, gusty at times, clear skies",5,A,X1,130.030827,-32.14049329
S26,Zone E,NA,NA,NA,sheltered by large trees and nearby ridge,7,A,X1,130.2453818,-32.22617201
S26,Zone E,NA,NA,NA,Very strong northerly (wind funnels through creekline and along steep ridge).,5,A,X1,130.2453818,-32.22617201
S26,Zone H,NA,NA,NA,light easterly,5,A,X1,130.164601,-32.28404537
S26,Zone A,NA,20,B3,"Clear conditions, strong gusty breeze from SE",6,A,X1,130.0327924,-32.16947172
S26,Zone E,NA,10,B1,"Still, clear conditions",6,A,X1,130.2453818,-32.22617201
S26,Zone E,NA,10,B3,"Moderate wind from E, clear conditions",5,A,X4,130.2040977,-32.22226437
S26,Zone E,NA,25,B3,"Still, hot, light breeze ",5,B,X1,130.2452788,-32.3306172
S26,Zone H,NA,25,B2,"Partly cloudy, strong SE wind.",5,B,X1,130.0761366,-32.35155981
S26,Zone C,NA,25,B2,0/01/1900,6,B,X1,130.0557016,-32.43227597
S26,Zone C,NA,25,B2,"Partly cloudy, moderate NW wind.",5,B,X1,130.0557016,-32.43227597
S26,Zone E,NA,25,B3,0/01/1900,6,B,X1,130.2452788,-32.3306172
S26,Zone A,NA,25,B2,"Clear, warm, light E'ly breeze",5,B,X1,130.030827,-32.14049329
S26,Zone E,NA,25,NA,strong wind 90,5,B,X1,130.241277,-32.42658892
S26,Zone E,NA,25,B2,strong wind 100,10,B,X1,130.2453818,-32.22617201
S26,Zone H,NA,25,B7,medium wind 100,6,B,X1,130.164601,-32.28404537
S26,Zone E,NA,25,B2,no wind,12,B,X1,130.2453818,-32.22617201
S26,Zone E,NA,25,NA,light wind 80,5,B,X4,130.2040977,-32.22226437
S26,Zone H,NA,25,B3,light wind 80,5,B,X1,130.164601,-32.28404537
S26,Zone A,NA,25,B3,light wind 130,6,B,X1,130.030827,-32.14049329
S26,Zone E,NA,25,NA,medium wind 120,8,B,X1,130.2453818,-32.22617201
S26,Zone A,NA,25,B2,medium wind 100,5,B,X1,130.0327924,-32.16947172
S26,Zone A,NA,25,NA,"Very hot, gusty hot southerly breeze, clear skies",5,B,X1,130.0327924,-32.16947172
S26,Zone B,NA,25,B1,"Hot dry ESE wind, gusty at times. Clear skies",5,B,X1,130.0850503,-32.27792669
S26,Zone A,NA,25,B3,"Hot Easterly breeze, some cloud cover.",5,B,X1,130.030827,-32.14049329
S26,Zone A,NA,25,B2,"Hot Easterly breeze, some cloud cover.",6,B,X1,130.0327924,-32.16947172
S26,Zone E,NA,25,B2,"Warm ENE breeze, clear skies",5,B,X1,130.241277,-32.42658892
S26,Zone A,8,9,B1,"Sunny, calm",7,C,X1,130.0327924,-32.16947172
S26,Zone A,9,21,B2,"mostly sunny, light breeze ",6,C,X1,130.0327924,-32.16947172
S26,Zone A,15,20,B2,"mostly sunny, moderate breeze ",5,C,X1,130.030827,-32.14049329
S26,Zone B,10,14,B2,"fine, warm, moderate breeze",5,C,X1,130.0850503,-32.27792669
S26,Zone H,10,11,B2,"partly cloudy, warm, moderate wind",6,C,X1,130.164601,-32.28404537
S26,Zone C,17,18,B2,"fine, clear, light E'ly breeze",6,C,X1,130.0557016,-32.43227597
S26,Zone H,9,10,B2,"fine, clear, strong E'ly breeze",5,C,X1,130.164601,-32.28404537
S26,Zone E,NA,NA,-,"fine, clear, moderate SE'ly breeze",6,C,X1,130.2453818,-32.22617201
S26,Zone A,NA,NA,-,"Sunny, SE wind gusty at times ",6,C,X1,130.0327924,-32.16947172
S26,Zone C,6,8,B3,"sunny, breezy",5,C,X1,130.0557016,-32.43227597
S26,Zone H,10,13,B4,"Sunny, light breeze",5,C,X1,130.164601,-32.28404537
S26,Zone E,NA,NA,-,"sunny, light breeze",6,C,X1,130.2452788,-32.3306172
S26,Zone E,10,14,-,"sunny, calm",10,C,X1,130.241277,-32.42658892
S26,Zone A,7,11,B3,"sunny, moderate breeze",7,C,X1,130.030827,-32.14049329
S27,Zone B,NA,9,B3,"Easterly wind, gusty at times, hot clear day",6,A,X2,130.3157018,-32.49333462
S27,Zone E,NA,12,B7,"Light Easterly breeze, clear skies",6,A,X1,130.2452788,-32.3306172
S27,Zone D,NA,10,B7,"ESE wind, gusty at times, clear skies",6,A,X2,130.1260132,-32.36875353
S27,Zone C,NA,NA,B2,"SE wind, gusty at times, hot with clear skies",5,A,X1,130.0557016,-32.43227597
S27,Zone B,NA,NA,NA,Easterly,8,A,X2,130.3157018,-32.49333462
S27,Zone A,NA,NA,NA,Medium easterly,5,A,X4,130.0455436,-32.14776484
S27,Zone B,NA,NA,NA,Easterly,6,A,X2,130.3157018,-32.49333462
S27,Zone D,NA,25,B3,"Partly cloudy, strong SE wind.",7,B,X2,130.1260132,-32.36875353
S27,Zone B,NA,25,B2,"Clear, hot, light breeze ",5,B,X2,130.3157018,-32.49333462
S27,Zone C,NA,25,B2,0/01/1900,5,B,X1,130.0557016,-32.43227597
S27,Zone B,NA,25,NA,strong wind 155,5,B,X2,130.3157018,-32.49333462
S27,Zone E,NA,25,NA,strong wind 90,5,B,X1,130.241277,-32.42658892
S27,Zone D,NA,25,NA,light wind 100,6,B,X2,130.1260132,-32.36875353
S27,Zone H,NA,25,NA,light wind 160,5,B,X1,130.0761366,-32.35155981
S27,Zone C,NA,25,B1,"Easterly wind, slightly overcast",5,B,X1,130.0557016,-32.43227597
S27,Zone H,NA,25,B2,"Hot Easterly wind, clear skies",5,B,X4,130.1186258,-32.45876212
S27,Zone D,NA,25,B1,"Light easterly breeze, clear skies",5,B,X3,130.1692709,-32.44834877
S27,Zone A,NA,25,B2,"Hot Easterly breeze, some cloud cover.",5,B,X1,130.0327924,-32.16947172
S27,Zone E,NA,25,NA,"Warm ENE breeze, clear skies",6,B,X1,130.241277,-32.42658892
S27,Zone A,7,8,B1,"Sunny, calm",6,C,X1,130.0327924,-32.16947172
S27,Zone B,12,12,B2,"Sunny, easterly breeze ",5,C,X1,130.0850503,-32.27792669
S27,Zone E,7,11,NA,"Sunny, easterly wind gusty at times ",6,C,X1,130.2453818,-32.22617201
S27,Zone D,8,10,B2,"cloudy, warm, strong wind",6,C,X2,130.1260132,-32.36875353
S27,Zone D,7,8,B2,"fine, clear, v light E'ly breeze",6,C,X2,130.1260132,-32.36875353
S27,Zone B,7,10,B3,"fine, clear, strong E'ly breeze",6,C,X2,130.3157018,-32.49333462
S27,Zone D,8,10,NA,"fine, clear, strong E'ly breeze",6,C,X2,130.1260132,-32.36875353
S27,Zone C,11,13,B3,"Sunny, light breeze",6,C,X1,130.0557016,-32.43227597
S27,Zone E,NA,NA,NA,"sunny, light breeze",6,C,X1,130.2452788,-32.3306172
S27,Zone E,NA,NA,NA,"sunny, calm",5,C,X1,130.241277,-32.42658892
S27,Zone B,NA,NA,-,"sunny, calm",7,C,X2,130.3157018,-32.49333462
S27,Zone B,7,9,B3,"sunny, strong breeze",8,C,X2,130.3157018,-32.49333462
S28,Zone E,NA,25,B3,"Still, hot, light breeze ",6,B,X1,130.2452788,-32.3306172
S28,Zone C,NA,25,B3,"Partly cloudy, moderate NW wind.",5,B,X1,130.0557016,-32.43227597
S28,Zone E,NA,25,B3,0/01/1900,6,B,X1,130.2452788,-32.3306172
S28,Zone E,NA,25,B2,medium wind 100,6,B,X1,130.2452788,-32.3306172
S28,Zone D,NA,25,B1,"Warm humid, no wind, some high cloud cover",8,B,X4,130.1041932,-32.4251709
S28,Zone C,NA,25,B2,"Hot NE breeze, clear skies",5,B,X4,130.0633847,-32.46023925
S28,Zone F,NA,25,NA,"Very hot, gusty hot southerly breeze, clear skies",5,B,X8,130.2022983,-32.15430901
S28,Zone D,NA,NA,NA,"fine, warm, still",5,C,X1,130.0923706,-32.49824002
S28,Zone E,6,15,B2,"fine, clear, strong wind",7,C,X1,130.2452788,-32.3306172
S28,Zone C,7,9,B3,"partly cloudy, warm, strong wind",5,C,X4,130.0633847,-32.46023925
S28,Zone C,15,20,NA,"fine, clear, light E'ly breeze",6,C,X1,130.0557016,-32.43227597
S28,Zone C,5,6,B2,"sunny, breezy",7,C,X1,130.0557016,-32.43227597
S28,Zone D,NA,NA,NA,"sunny, breezy",NA,C,X4,130.1041932,-32.4251709
S28,Zone C,5,15,B7,"sunny, breezy",8,C,X4,130.2372141,-32.50679697
S28,Zone C,10,13,B3,"Sunny, light breeze",8,C,X1,130.0557016,-32.43227597
S28,Zone D,NA,NA,NA,"partly cloudy, calm",5,C,X3,130.1692709,-32.44834877
S28,Zone E,27,32,B7,"sunny, light breeze",8,C,X1,130.2452788,-32.3306172
S28,Zone E,9,22,B7,"sunny, light breeze",9,C,X1,130.2452788,-32.3306172
S28,Zone E,23,28,B7,"sunny, calm",5,C,X1,130.241277,-32.42658892
S28,Zone A,NA,NA,NA,"sunny, moderate breeze",5,C,X1,130.030827,-32.14049329
S29,Zone F,5,6,B6,"sunny, moderate breeze",5,C,X7,130.1800519,-32.26204008
S30,Zone H,6,7,B2,"fine, warm, still",5,C,X4,130.1186258,-32.45876212
S30,Zone C,7,8,B2,"fine, warm, light E'ly",5,C,X4,130.0633847,-32.46023925
S30,Zone E,5,6,NA,"fine, clear, v light E'ly breeze",5,C,X4,130.2040977,-32.22226437
S30,Zone E,5,6,NA,"fine, mostly clear, moderate NE'ly breeze",5,C,X4,130.2042642,-32.24900808
S31,Zone B,NA,NA,NA,Easterly,7,A,X2,130.3157018,-32.49333462
S32,Zone E,NA,NA,B1,"Easterly wind, gusty at times, hot clear day",5,A,X1,130.241277,-32.42658892
S32,Zone E,NA,NA,NA,sheltered by large trees and nearby ridge,7,A,X1,130.2453818,-32.22617201
S32,Zone C,NA,NA,NA,Easterly,5,A,X5,130.0459086,-32.52789957
S32,Zone H,NA,NA,NA,light easterly,5,A,X1,130.164601,-32.28404537
S32,Zone G,NA,NA,NA,"Clear, strong wind from East ",5,A,X1,130.1257698,-32.26561097
S32,Zone H,NA,25,B2,"Partly cloudy, strong SE wind.",5,B,X1,130.0761366,-32.35155981
S32,Zone E,NA,25,NA,0/01/1900,5,B,X1,130.241277,-32.42658892
S32,Zone C,NA,25,NA,"Partly cloudy, light NW wind.",5,B,X5,130.0459086,-32.52789957
S32,Zone E,NA,25,NA,strong wind 90,5,B,X1,130.241277,-32.42658892
S32,Zone E,NA,25,NA,strong wind 100,5,B,X1,130.2453818,-32.22617201
S32,Zone F,NA,25,NA,strong wind 100,5,B,X8,130.2022983,-32.15430901
S32,Zone C,NA,25,B1,"Easterly wind, slightly overcast",6,B,X5,130.0459086,-32.52789957
S32,Zone D,NA,25,NA,"Hot Easterly wind, clear skies",5,B,X1,130.0923706,-32.49824002
S32,Zone H,NA,25,B1,"Warm, slight northerly breeze, clear skies",5,B,X4,130.1186258,-32.45876212
S32,Zone H,10,11,B2,"fine, warm, still",5,C,X4,130.1186258,-32.45876212
S32,Zone D,NA,NA,NA,"fine, warm, still",5,C,X1,130.0923706,-32.49824002
S32,Zone C,10,13,B1,"fine, clear, light E'ly breeze",5,C,X5,130.0459086,-32.52789957
S32,Zone E,17,18,NA,"fine, partly cloudy, moderate E'ly breeze",5,C,X4,130.2040977,-32.22226437
S32,Zone C,NA,NA,NA,"sunny, breezy",5,C,X5,130.0459086,-32.52789957
S32,Zone E,NA,NA,NA,"sunny, light breeze",5,C,X1,130.2452788,-32.3306172
S32,Zone E,15,18,B7,"sunny, calm",5,C,X1,130.241277,-32.42658892
S32,Zone C,NA,NA,NA,"sunny, calm",5,C,X1,130.239891,-32.47313511
S32,Zone A,NA,NA,NA,"sunny, moderate breeze",5,C,X1,130.030827,-32.14049329
S33,Zone E,NA,20,B7,"Light Easterly breeze, clear skies",6,A,X1,130.2452788,-32.3306172
S33,Zone A,NA,NA,B7,"ENE wind, gusty at times, clear skies",5,A,X1,130.0327924,-32.16947172
S33,Zone C,NA,17,B7,"ESE wind, gusty at times, clear skies",5,A,X1,130.0557016,-32.43227597
S33,Zone C,NA,13,B2,"ESE wind, gusty at times, clear skies",9,A,X1,130.0557016,-32.43227597
S33,Zone C,35,45,B3,"ESE wind, gusty at times, clear skies",8,A,X1,130.0557016,-32.43227597
S33,Zone A,NA,13,B2,"SE wind, gusty at times, clear skies",5,A,X1,130.0327924,-32.16947172
S33,Zone C,NA,13,B7,"SE wind, gusty at times, hot with clear skies",5,A,X1,130.0557016,-32.43227597
S33,Zone E,NA,NA,B3,sheltered by large trees and nearby ridge,5,A,X1,130.2453818,-32.22617201
S33,Zone E,NA,NA,NA,Very strong northerly (wind funnels through creekline and along steep ridge).,6,A,X1,130.2453818,-32.22617201
S33,Zone D,NA,NA,B3,Mild Easterly,5,A,X3,130.1692709,-32.44834877
S33,Zone C,NA,NA,B3,Easterly,5,A,X5,130.0459086,-32.52789957
S33,Zone A,NA,NA,NA,Medium easterly,5,A,X4,130.0455436,-32.14776484
S33,Zone E,NA,NA,B3,Strong easterly,5,A,X1,130.2452788,-32.3306172
S33,Zone D,NA,NA,B3,Mild Easterly,5,A,X3,130.1692709,-32.44834877
S33,Zone E,NA,NA,B3,Strong easterly,5,A,X1,130.2452788,-32.3306172
S33,Zone E,NA,NA,NA,"Clear conditions, mild breeze from SE",5,A,X4,130.2040977,-32.22226437
S33,Zone A,NA,11,B1,"Clear conditions, strong gusty breeze from SE",6,A,X1,130.0327924,-32.16947172
S33,Zone E,20,25,B1,"Still, clear conditions",10,A,X1,130.2453818,-32.22617201
S33,Zone E,NA,15,B1,"Moderate wind from E, clear conditions",5,A,X4,130.2040977,-32.22226437
S33,Zone E,NA,75,B1,"Still, hot, light breeze ",7,B,X1,130.2452788,-32.3306172
S33,Zone C,NA,75,B3,0/01/1900,6,B,X1,130.0557016,-32.43227597
S33,Zone G,NA,25,B1,"Fine, clear, moderate E'ly breeze",8,B,X1,130.1257698,-32.26561097
S33,Zone A,NA,25,B3,"Clear, warm, light E'ly breeze",8,B,X1,130.030827,-32.14049329
S33,Zone D,NA,25,NA,strong wind 90,9,B,X3,130.1692709,-32.44834877
S33,Zone D,NA,25,B2,light wind 100,6,B,X3,130.1692709,-32.44834877
S33,Zone H,NA,25,B2,medium wind 100,6,B,X1,130.164601,-32.28404537
S33,Zone E,NA,25,B3,no wind,7,B,X1,130.2453818,-32.22617201
S33,Zone A,NA,25,B2,light wind 130,5,B,X1,130.030827,-32.14049329
S33,Zone E,NA,25,B2,medium wind 120,7,B,X1,130.2453818,-32.22617201
S33,Zone D,NA,35,B3,"Light easterly breeze, clear skies",29,B,X3,130.1692709,-32.44834877
S33,Zone A,NA,25,B1,"Hot Easterly breeze, some cloud cover.",7,B,X1,130.030827,-32.14049329
S33,Zone A,NA,25,B2,"Hot Easterly breeze, some cloud cover.",7,B,X1,130.0327924,-32.16947172
S33,Zone E,7,14,B1,"Sunny, easterly wind gusty at times ",5,C,X1,130.2453818,-32.22617201
S33,Zone E,9,10,B2,"fine, clear, strong wind",6,C,X1,130.2452788,-32.3306172
S33,Zone D,7,8,B3,"fine, clear, strong wind",5,C,X3,130.1692709,-32.44834877
S33,Zone C,25,27,B3,"fine, clear, light E'ly breeze",5,C,X1,130.0557016,-32.43227597
S33,Zone E,25,35,B3,"fine, clear, strong E'ly breeze",7,C,X1,130.241277,-32.42658892
S33,Zone D,7,30,B3,"fine, clear, strong E'ly breeze",7,C,X3,130.1692709,-32.44834877
S33,Zone A,NA,NA,-,"Sunny, SE wind gusty at times ",6,C,X1,130.0327924,-32.16947172
S33,Zone F,NA,NA,NA,sunny,6,C,X7,130.1800519,-32.26204008
S33,Zone D,NA,NA,B1,"partly cloudy, calm",7,C,X3,130.1692709,-32.44834877
S33,Zone E,12,20,B3,"sunny, light breeze",7,C,X1,130.2452788,-32.3306172
S33,Zone E,6,10,-,"sunny, light breeze",13,C,X1,130.2452788,-32.3306172
S34,Zone E,NA,NA,NA,sheltered by large trees and nearby ridge,7,A,X1,130.2453818,-32.22617201
S34,Zone E,NA,NA,NA,strong eaterly,8,A,X4,130.2042642,-32.24900808
S34,Zone A,NA,NA,NA,Medium easterly,8,A,X4,130.0455436,-32.14776484
S34,Zone E,NA,NA,NA,Strong easterly,8,A,X1,130.2452788,-32.3306172
S34,Zone G,NA,NA,NA,"Moderate wind from NE, clear conditions",8,A,X4,130.1458091,-32.32572974
S34,Zone H,NA,6,B6,"Moderate wind from NE, clear conditions",9,A,X4,130.1186258,-32.45876212
S34,Zone D,NA,8,B3,"Moderate wind from NE, clear conditions",16,A,X2,130.1260132,-32.36875353
S34,Zone G,NA,7,B1,"Moderate wind from NE, clear conditions",10,A,X2,130.1130163,-32.34329067
S34,Zone D,NA,10,B1,"Moderate wind from ENE, clear conditions",7,A,X2,130.1260132,-32.36875353
S34,Zone B,NA,25,B2,strong wind 155,5,B,X2,130.3157018,-32.49333462
S34,Zone H,NA,25,B2,light wind 160,7,B,X1,130.0761366,-32.35155981
S34,Zone G,NA,25,B2,Strong wind 90,8,B,X2,130.1130163,-32.34329067
S34,Zone H,NA,25,NA,medium wind 100,5,B,X1,130.164601,-32.28404537
S34,Zone D,NA,25,NA,light wind 80,6,B,X4,130.1488508,-32.48177617
S34,Zone E,NA,25,B2,no wind,6,B,X1,130.2453818,-32.22617201
S34,Zone H,NA,25,B1,"Warm, slight northerly breeze, clear skies",6,B,X4,130.1186258,-32.45876212
S34,Zone C,5,6,B3,"sunny, breezy",7,C,X5,130.0459086,-32.52789957
S34,Zone G,6,7,B1,"Sunny, light breeze",6,C,X2,130.1130163,-32.34329067
S35,Zone D,5,25,B4,"Light easterly breeze, clear skies",12,B,X3,130.1692709,-32.44834877
S35,Zone D,5,5,B6,"fine, clear, strong E'ly breeze",6,C,X3,130.1692709,-32.44834877
S36,Zone D,5,5,B6,"fine, clear, strong E'ly breeze",6,C,X3,130.1692709,-32.44834877
S29,Zone D,NA,6,B6,"Moderate wind from E, clear conditions",7,A,X4,130.1041932,-32.4251709
S29,Zone G,NA,6,B1,"Moderate wind from NE, clear conditions",5,A,X2,130.1130163,-32.34329067
S29,Zone H,NA,25,B1,strong wind 110,5,B,X7,130.1886283,-32.31312571
S29,Zone H,NA,25,NA,light wind 90,6,B,X7,130.1886283,-32.31312571
S29,Zone G,5,6,B6,"cloudy, warm, strong wind",6,C,X4,130.1458091,-32.32572974
S29,Zone B,5,6,NA,"Sunrise, strong breeze",6,C,X4,130.0211448,-32.32262952
S38,Zone C,NA,NA,NA,"Easterly wind, gusty at times, hot clear day",5,A,X1,130.239891,-32.47313511
S38,Zone E,NA,NA,B7,"Easterly wind, gusty at times, hot clear day",7,A,X1,130.241277,-32.42658892
S38,Zone E,NA,13,B7,"Light Easterly breeze, clear skies",6,A,X1,130.2452788,-32.3306172
S38,Zone A,NA,12,B7,"SE wind, gusty at times, clear skies",5,A,X1,130.030827,-32.14049329
S38,Zone A,NA,13,B7,"Strong SE wind, clear skies",6,A,X1,130.030827,-32.14049329
S38,Zone E,NA,NA,NA,Strong Easterly,8,A,X1,130.241277,-32.42658892
S38,Zone A,NA,NA,NA,Medium easterly,5,A,X4,130.0455436,-32.14776484
S38,Zone C,NA,NA,NA,strong easterly in gusts,6,A,X1,130.0557016,-32.43227597
S38,Zone D,NA,NA,NA,Mild Easterly,6,A,X3,130.1692709,-32.44834877
S38,Zone G,NA,10,B3,"Clear, strong wind from East ",5,A,X1,130.1257698,-32.26561097
S38,Zone F,NA,NA,NA,"Gentle breeze from NE, clear conditions",6,A,X8,130.2022983,-32.15430901
S38,Zone B,NA,15,B3,"Gentle ESE breeze, clear conditions",5,A,X4,130.0211448,-32.32262952
S38,Zone B,NA,25,B2,"Clear conditions, moderate breeze from SE with occasional strong gusts",5,B,X4,130.0211448,-32.32262952
S38,Zone H,NA,25,B1,"Partly cloudy, strong SE wind.",6,B,X1,130.0761366,-32.35155981
S38,Zone C,NA,25,B2,"Still, hot, clear",5,B,X1,130.239891,-32.47313511
S38,Zone E,NA,25,B2,0/01/1900,5,B,X1,130.241277,-32.42658892
S38,Zone D,NA,25,B2,"Fine, clear, light E'ly breeze",5,B,X1,130.0923706,-32.49824002
S38,Zone F,NA,25,B2,"Fine, clear, light E'ly wind",5,B,X4,130.2225679,-32.18382245
S38,Zone C,NA,25,B2,"Clear, hot, moderate SW'ly breeze",5,B,X1,130.239891,-32.47313511
S38,Zone A,NA,25,B2,"Still, clear",5,B,X4,130.0674542,-32.25413856
S38,Zone D,NA,25,B2,light wind 100,5,B,X3,130.1692709,-32.44834877
S38,Zone E,NA,25,B3,no wind,5,B,X1,130.2453818,-32.22617201
S38,Zone A,NA,25,B2,light wind 130,6,B,X1,130.030827,-32.14049329
S38,Zone C,NA,25,B2,"Warm, slight northerly breeze, clear skies",5,B,X4,130.0633847,-32.46023925
S38,Zone D,NA,25,B1,"Warm, slight northerly breeze, clear skies",5,B,X1,130.0923706,-32.49824002
S38,Zone H,NA,25,B2,"Warm, slight northerly breeze, clear skies",6,B,X4,130.1186258,-32.45876212
S38,Zone A,NA,25,NA,"SE wind, clear skies",5,B,X4,130.0437059,-32.20004486
S38,Zone E,NA,25,NA,"Hot, SE breeze, clear skies",5,B,X4,130.2040977,-32.22226437
S38,Zone B,7,7,B2,"Sunny, easterly breeze ",5,C,X1,130.0850503,-32.27792669
S38,Zone G,6,8,B1,"Sunny, easterly wind gusty at times ",5,C,X4,130.1171401,-32.21401792
S38,Zone A,5,25,B3,"mostly sunny, moderate breeze ",5,C,X1,130.030827,-32.14049329
S38,Zone H,7,8,B2,"fine, warm, still",5,C,X4,130.1186258,-32.45876212
S38,Zone D,11,13,B1,"fine, warm, still",16,C,X1,130.0923706,-32.49824002
